business_id,review_count,stars
YNjyv0gfOr2g8lbmUpTnKg,350,4.5
LhpPSrulqVeTyJeK2xydvQ,6,4.5
oaboaRBUgGjbo2kfUIKDLQ,593,4.5
-ZXYcCyDjj1QimnJyGtYtg,24,4.5
nUqrF-h9S7myCcvNDecOvw,32,4.5
vR9_bhoszcpXbB_APv6Xlw,31,5.0
ZM46RDLXaFNo_z6t-j_L4w,5,3.5
pEm4xNCk8d0TF6A1gi-WDQ,17,3.5
J_ksUDPpzPwfTGtI4zTRnQ,7,4.5
knQ4vIgx-r85kjlWVVjcpQ,5,4.5
U2Tzy6J9aAAg9pzXsgdkvg,6,5.0
1MeIwdbTnZOBFCKOrgaxuw,80,3.5
8KMIT0NXu30Jz5Ojo5uxaw,6,5.0
jiLGdnf42eYftkqfU2ze1w,29,3.5
EuRGgOwJ0g1vTj2R04j37Q,14,2.5
TLZ3-eDPLhUzfsWO4ad6Ug,382,4.0
Dy91wdWkwtI_qgjAIZ0Niw,23,4.0
2Bi3ef7c0CrLxHD_-yy_tw,13,3.0
vje0KIiE7vtpx7JzmBx5LQ,129,4.0
2n9HHBxG7yAyAUwXXa49aw,5,4.0
kK2i5Xyd9SOpF5pCFilbcg,7,4.5
I6DCYks9lqZeoZiVzW7PmA,10,1.5
VrGxoSNZfSiT-G4OqRRGIw,73,4.0
H0NEOp4e3Zu598u6kO3y0g,17,3.5
sB45WFgysT617bKWP_WJwA,605,4.5
Fk1xpM7fjqEJ4paqk5ZFSg,19,3.0
4dVrWc4Nhuw9apfk9BWEcA,29,2.0
xfmkEGiIERBaBMLhw-dTCg,6,4.5
NTf_U8kYu9PAE2cZGJqtJg,6,3.5
kk_oEw1j3xQ-cJaAII8A0Q,29,3.0
RXpADfOCZBGi82-CGxYdsw,8,4.5
qFX8IdomeBVhDPCSyz2aRg,7,3.5
luGY5CJlb4CJ3LrBcSXMPA,5,3.0
VZzivJEbmHItOxNXJB3SpA,14,2.5
iPSPcprSnkLOuL1Ns8UZZA,12,4.5
Q3kQYhkYxSRyYyeBgtk--A,5,5.0
wEfK2HIYNzkA1QYfUjHBaw,15,2.5
anLQj9AM8vjbcLSIE0iUgg,22,4.0
BVo_36t3z7vfXp3XGgJkOg,37,1.5
P8brGDYVWjeW9GrKixH0yQ,36,3.0
Cdytv_YhJO0W0Ab8t2xLtg,29,3.5
3BJxm-HnvzdwD1zjmSbmyQ,137,3.0
FRYkg_JvsWU9xIXZsEZcVA,27,3.5
9C2rpb56aQvW0ViZHK9sPw,56,3.5
k0yyD71s2F2eEKWRdkZ6jA,19,3.0
dM5OKNzk9AL2aiq-fV-SYg,14,1.5
qdYfHRsZdcz4Bun4f9Ijaw,8,2.0
Y6t4pnKm5LF8y5ChHA27ow,27,4.5
E_kLUlU60fzoZYAOxbH_3w,43,2.5
txiXR1YfMyk-5S4ZzOVIhQ,7,2.0
0vCsslN-TYnDeOSNT4rIfg,44,3.5
zFvqulgAYOpSG2t1v8AZ-w,40,4.0
SZU9c8V2GuREDN5KgyHFJw,2404,4.0
GWGXTKR0Fhdvzf_isDqJug,17,5.0
-aeZuatjCDMV1X4gCTz9Ug,6,4.5
PYW8Buz8S8LpjIe6mZTAcw,13,3.5
Lx8ZYUJ_-3Aa8N821mN1WQ,13,4.0
M_THnNDHs29aylcK-JqS1A,6,1.5
uCQqtYW_xc1EJRm7NyakdA,12,4.5
9LLxOjEhLNcdx8i4lL6EUQ,10,2.0
h-y5azB-VlQAT3m7Ff2g2Q,16,5.0
XHTgtBSwLnwRHzKSbea2Fg,6,4.0
WYYdQDjx-DsCanlP0DpImQ,72,4.5
U2htB9qk4hOXCdkccvvW0Q,5,5.0
aNtKyc2rr-uK5cqzY9TVQQ,19,3.0
yv6kSKxDdZTsvHL25K-U2g,45,4.5
hUQ9Z7kQeabvhPOAQOVV1A,67,3.5
t5tBd4p7BA7hNDitBUXxrw,68,4.0
oCFcoyGx2VRZ8MHXEsV8tQ,10,2.5
FC6ef4rMMZKNov_-A9M6iQ,6,1.5
X_E7U2lVNEwbH_gpOBmAHQ,182,4.0
EYA514FX4H8MwvFjv2ORQA,30,4.5
G4lRmwDHdvhZAhmtlsYYBw,37,1.5
DTUfAthScapCGnOnnLUhPA,9,3.5
DcUDIlxFsvqPvFh8_lb4Sw,8,1.5
zs4d4DqSp5zh3HGFh-PiiQ,21,2.5
BxhkoR6cscJwwex8gx31OA,40,3.5
2oxrOO3c9_mQmqM9kwEm9Q,6,3.5
Ms5xG8i4p80KSMcF3tt4ug,52,4.0
yswijv6wP2fKbMqAiEZ0vw,6,5.0
m9ncuZp0nEVhIwu24G-HRw,10,2.5
QZU7TcrztBb3tXaPbVCkXg,68,4.5
l6VYP8AxIoW6U52aDo8fXg,24,4.0
wMAxTyExktVtfyqKAfApbA,16,4.0
E-nhxuu3zbt02oCj_1AFng,60,5.0
vvE3HVfxlx9UYctKPr0dbw,9,4.5
JnbSkfsl_j2dUoHncBTonA,6,4.5
5BYQP7i7ckUlgSzX4Yhnmw,5,5.0
xAAhPuZ8FG6OlvAw5m1BVQ,5,3.5
DfGNZQsCe9k2BxazCf0p6g,19,4.5
07JLsUInZr5OSiYH2XVi4g,8,2.0
hPAmGKnDqummngSTOJN_8g,86,4.5
ORL4JE6tz3rJxVqkdKfegA,1639,3.0
1GnJDrpp-jyDRCptavD9RQ,7,4.0
jkY8aotwcAlSHCgoZrF49w,5,1.0
YD_eZ4TaFrHYRrJVzOXHfw,11,1.5
P10BsKUeoeCeVoK4BS2u0w,29,4.0
7Du9oW73YcYFmXdtU5aiSg,17,3.5
h_qlv6CIXGVurFOhFQ945w,6,3.5
QjV4v7q_pt7tt3K1US7IHg,5,3.0
LGqiubTmpJ-A1L5n7dmc6g,14,1.5
FTFtoylMzkrzqNVSl-bkKw,19,4.0
59jkCUm4yHciKL1KW_1HJA,25,2.5
AzwiKZjVqHOxLaYtPAx8lA,37,2.5
yM8LlTInbQH4FwWC97lz6w,100,1.5
tVdJ7CgBGAQ_nLomYXbB-Q,5,5.0
x8KYhsxbufQiYIK-4MRzHQ,13,2.0
3S9GYtMOYhbZl4MMPOHT0Q,34,4.5
znL4YrNbA2uwOQ3CchkmEA,8,4.5
CtMEJxpVMlNzFpB4PtFjfA,75,4.0
O1oZpbZNDMH_gz8DhsZCdA,15,1.5
vPcfJ3rm3NpdqVDod2WxLA,27,1.5
HI4_NqeHMJOnMoVFNxaFyA,21,3.5
pmuuoDqNZp7518AUd-YmPA,60,3.5
EDNYAyVc_WFhM3CD6QVD4A,13,4.0
tyJwgMRwo21wLUsga_RkQw,10,4.0
2dlQX5sP9X6Dlm1MmNOlSw,105,4.0
IYlUaKC9nICjiWdk-ShPlg,175,4.0
hdRtVNk-G9Ep4eaHPKXmfA,7,4.0
tSFXJ0GFl5iUdy021YgWLw,7,5.0
UoKkgWmE9-c3wbWwO4VAVQ,5,3.0
Nh1rc9aSeO-Y5lYmXVS6CA,53,2.0
r_8FZXRkGoc5QNbTOAIftA,85,4.5
ZU6NodDOWaabGkeNpOWdXw,6,4.5
LVYAXWQB3t7tdwWteyjfhw,16,4.0
mq5Z9X7yxgyApILQ11niNw,7,3.0
X0V_PdBTS_SwNxMY2795ZA,12,3.5
ONUZertKOOImiyQG66Z7Tg,26,3.5
ULReFPrCIDRbGKwP3ZsHwg,55,4.5
25Uww0C0wvF9CZ_3B6vWtA,48,4.5
rCoWa-C7Os51GjFkCnFlVw,6,4.5
Dtuf4vD0znzwJW9vk3iTNw,246,4.0
8c0r7olQSYGcws0bTd3ikw,5,4.0
Ucl9Vo5lwrUmYbV8Dv8X5g,108,4.0
cSeA6pC9JUlGfz-RNfvnGw,33,4.0
WdrpkH-q7FQY5nclmPfoDQ,7,4.0
xF9r1XbMvEOsJeHlmFhIvw,13,5.0
6BF3eaIzHtoNHSxKTFnTyg,13,3.5
wjyUxHxkrvUvCOVqy4g_wg,11,4.0
do6EpBc7ZUoaqdzuUuGFXA,8,4.5
4IcB3QyMEA85UTWFKh9O9A,8,4.5
_mf0QKI1Jlk8zRinr-56FA,10,5.0
h_3oLlQ_CFohwlzsrSZ6xQ,17,4.5
Y6heWJJ9AmEL58fZwgi9YQ,58,4.0
bTve2mwLk5Zc01vRKqc2KQ,183,4.5
7FHjj04Wy2aqXl22NA_C0g,18,4.0
TF6QZYUR5atqBEFnHP5bOw,27,3.5
WveinioyAZg3dtt0zHsyHA,17,4.0
D9Xez9uOSM4DgSjSTywq7w,5,4.0
6czqMScx8MRDirv7fxX7pw,34,4.5
bi3SICnYEuFC7Cihyqz8Nw,5,5.0
xbRbvXSAVZBEwaUUn3mzbg,42,3.5
qb5pyP6XOS8K2uuC4eQHmQ,8,2.5
CWE-NfyMgi28ePUiansSdQ,24,3.5
uDQgmudYDKiB6n4vwbEeDg,112,4.5
v5kwdvmg-J8g-ll0nkc3Sw,208,4.0
8p9euqoMCbT4AIL_Fgqb0g,5,4.0
bqmX882_6AxVA_uHEQ70sQ,46,4.0
my0bmPD5dgDFE1ia__LNlw,84,3.5
Edg22x3CZkIv0GUib2oEFA,149,3.5
VVvUBlc_WIEb8obKGq39dA,39,4.5
FR5xx5YEzxAnoMdqGl7vRQ,6,3.0
py5aKmlTB2NarfsfcOpHOQ,55,2.5
jL_NufxqXi-BpW5uXKsPwQ,11,3.0
wZhGuW7vQpfhxeEvLHkTrA,119,4.5
vjLSYNGFkPu4Y5HKoJlzYg,5,2.0
pIUQz-zGw-Nu_Pu-qoTGuw,15,2.0
I3ZLcrGzj-QN5vFgaJFrAg,25,3.0
Tm3QiAVLJAR2fEJK7APPPQ,131,3.0
rJXa375PYt906DwptOOP3Q,8,4.0
YR0nwxBOKk6DiLHNItfsBQ,14,3.5
X4loIesbBkiTZLFstHv8Kw,10,3.5
n8ecak12IF_jhnPNs37AZA,12,4.5
jnyHs1ZXy9qIE2gORZBQMg,6,4.0
xloFoRiYlH4IKGz3FhTDpA,5,4.0
s_lHc_CrkzOTY3k4VNtN8w,28,4.0
zzUxvYE-8Fj_dWqsPcagNg,25,2.0
jcL_qaGJiappzpnn-ifSoA,8,4.0
rYOrSXy2I4BcxB7dhg29uA,71,3.5
_T0cPZE2ZJOTTlYYKMP64Q,66,4.5
dJfkfBbJz7wi0RgW-ph_Eg,140,3.0
VbItL6RDULtnw4YvB6EhVg,178,3.0
OIsLivxtTTqH7i1QISoUOQ,7,4.0
W57cR9a7XP6RX56MSWHJJA,58,3.5
35dqrE4z9qWCtCn749oorg,5,2.5
6bFx8j2KqPfmT0XEUS1RMg,120,3.5
x7_p5O3ChQa7shdHCcLHZQ,172,3.5
G2Byuh4EVeSnqqWBWtD7rg,18,4.5
JF7iyI3wA_AKi_iXOKi0Qw,61,3.5
vSE6lkp5FBcttPxEbQ9XCw,7,5.0
iolaqx0v6g-fymksGWIU9A,53,3.5
G89OuZ3sIEfOR5cXeDqNaA,5,5.0
gRHd5bRosRWQBckzPawf-w,7,5.0
xa6JYHDgVza7CuenKBJBHw,8,4.5
1dSKEitDDgIkaApe6UNMSA,18,5.0
rZw9O5lJ36m_mXeRKE4G9A,29,4.5
dCITjr2RMTmrX33_eFaMKA,17,3.5
CLEWowfkj-wKYJlQDqT1aw,55,4.0
YG0OOMLP3MWYPKHpkA_mew,6,4.0
Pr_Mlt9FqdcW7WCFGJmozA,104,4.5
-7GDqSUaXrpC8Ql7nDBxWA,92,4.0
6I_DA3uqOox50rBvjrQ_-g,175,3.0
zn-WXkqHag5FSVc_LC9dEQ,5,4.0
IYJOfQ6eFVHKCfJck59YIw,5,4.0
e8pMCk4bE0U4qk7z59Lxkg,11,4.5
qps-oF95uqPoV7fiXn-dpg,5,2.0
Q2sKrIaEZsFN7VNjkibyfQ,7,3.5
IAj1Lw3FAOY-yZn4IO7ElQ,17,3.0
en_F2VgZPW1RCnWkPyCrhg,19,4.5
aNLr1j_3CZ46rqiUeLaQ-A,23,5.0
tuyCmcmm5Q-bc-9zV76xKA,93,4.5
96qKAK06EdkG6GPVxKDdTw,16,3.5
yZP6Z8sbDpkeXyjNMDiyDg,9,3.5
kR4tXc1fLeR2QNu8cMZrEg,13,2.0
V-96iACFgPmVjjKACGxd7Q,6,2.5
p184f-Zvf4ToPwLba0VS4A,26,3.5
WcSpc5mcfa7NUZ9GQgx0Tg,9,4.5
zVlhs7BVaouutt-rles-YA,99,4.5
