"business_id","name","state","city","ReviewCount","AverageStars"
"bTve2mwLk5Zc01vRKqc2KQ","Red Hook Coffee & Tea","PA","Philadelphia","183","4.5"
"BVo_36t3z7vfXp3XGgJkOg","Sears Auto Center","LA","Metairie","37","1.5"
"BxhkoR6cscJwwex8gx31OA","Bar-B-Cutie","TN","Madison","40","3.5"
"Cdytv_YhJO0W0Ab8t2xLtg","Nipper's Pub","NJ","Woodbury","29","3.5"
"CF33F8-E6oudUQ46HnavjQ","Sonic Drive-In","TN","Ashland City","6","2"
"CLEWowfkj-wKYJlQDqT1aw","Blow Bar Express Styling Salon","FL","Tampa","55","4"
"cSeA6pC9JUlGfz-RNfvnGw","Midwest RV Center","MO","St. Louis","33","4"
"CtMEJxpVMlNzFpB4PtFjfA","Aussie Grill","FL","Lutz","75","4"
"cVBxfMC4lp3DnocjYA3FHQ","Paws The Cat Cafe","AB","Edmonton","20","5"
"cvP_vh_bOLbCY3eoY1Xw-A","Fishers Freedom Festival","IN","Fishers","7","4.5"
"CWE-NfyMgi28ePUiansSdQ","Jim's Appliance & Furniture","ID","Boise","24","3.5"
"D9Xez9uOSM4DgSjSTywq7w","King of Jewelers","PA","Philadelphia","5","4"
"dCITjr2RMTmrX33_eFaMKA","BurgerWorks","AB","Sherwood Park","17","3.5"
"DcUDIlxFsvqPvFh8_lb4Sw","Lott's Service","NJ","Moorestown","8","1.5"
"DfGNZQsCe9k2BxazCf0p6g","Reno Family Chiropractic","NV","Reno","19","4.5"
"dJfkfBbJz7wi0RgW-ph_Eg","Sake House","FL","Tampa","140","3"
"dM5OKNzk9AL2aiq-fV-SYg","Walmart Supercenter","IN","Brownsburg","14","1.5"
"do6EpBc7ZUoaqdzuUuGFXA","Jim's Auto Detailing","PA","Wayne","8","4.5"
"DQ7PyYlp2bX96WZa7TcaWQ","LensCrafters","PA","Plymouth Meeting","8","2.5"
"Dtuf4vD0znzwJW9vk3iTNw","Tomo Japanese Steakhouse and Sushi Bar","IN","Indianapolis","246","4"
"DTUfAthScapCGnOnnLUhPA","Stitchers' Dream","PA","Glenside","9","3.5"
"Dy91wdWkwtI_qgjAIZ0Niw","Taqueria Los Primos","DE","Wilmington","23","4"
"E-nhxuu3zbt02oCj_1AFng","Selah","AZ","Tucson","60","5"
"e8pMCk4bE0U4qk7z59Lxkg","Federal Donuts","PA","Philadelphia","11","4.5"
"Edg22x3CZkIv0GUib2oEFA","Mellow Mushroom","LA","New Orleans","149","3.5"
"EDNYAyVc_WFhM3CD6QVD4A","Ottewell Animal Clinic","AB","Edmonton","13","4"
"eMjnw_7wp-CscyNh6Lu0ZA","AM&PM Locksmith","PA","Philadelphia","58","4.5"
"en_F2VgZPW1RCnWkPyCrhg","Belle Chic Salon","AZ","Oro Valley","19","4.5"
"EuRGgOwJ0g1vTj2R04j37Q","Crafty Crab","IL","Fairview Heights","14","2.5"
"EYA514FX4H8MwvFjv2ORQA","Carsmetics","FL","Clearwater","30","4.5"
"eYxGFkxo6m3SYGVTh5m2nQ","Big Boyz Toyz Motorcycle Rentals","AZ","Tucson","8","4.5"
"E_kLUlU60fzoZYAOxbH_3w","Pain Institute of Southern Arizona","AZ","Tucson","43","2.5"
"FC6ef4rMMZKNov_-A9M6iQ","TD Bank Havertown","PA","Haverford","6","1.5"
"Fk1xpM7fjqEJ4paqk5ZFSg","Jamba Juice","ID","Boise","19","3"
"FR5xx5YEzxAnoMdqGl7vRQ","Anytime Fitness","LA","New Orleans","6","3"
"FRYkg_JvsWU9xIXZsEZcVA","Altamura","LA","New Orleans","27","3.5"
"FTFtoylMzkrzqNVSl-bkKw","Giant Food Stores","PA","Philadelphia","19","4"
"fvWn8oXXwbj2l79cochZyw","Altitude Trampoline Park - Boise","ID","Boise","30","5"
"G2Byuh4EVeSnqqWBWtD7rg","Wissahickon Cyclery","PA","Philadelphia","18","4.5"
"G4lRmwDHdvhZAhmtlsYYBw","Wendy's","TN","Nashville","37","1.5"
"G89OuZ3sIEfOR5cXeDqNaA","Bulls Barbershop","FL","Temple Terrace","5","5"
"gbN4RuUiiBxQ2GBFQ2p3Cw","Mr. Margarita","NV","Fernley","7","5"
"gRHd5bRosRWQBckzPawf-w","Blue Wren Studio","IN","Indianapolis","7","5"
"GWGXTKR0Fhdvzf_isDqJug","David Gower, Jr.  - Coldwell Banker Preferred","PA","Philadelphia","17","5"
"h-y5azB-VlQAT3m7Ff2g2Q","P's & Q's - Premium Quality","PA","Philadelphia","16","5"
"H0NEOp4e3Zu598u6kO3y0g","America's Best Contacts & Eyeglasses","NJ","Voorhees","17","3.5"
"hdRtVNk-G9Ep4eaHPKXmfA","Carpet One Floor & Home","AZ","Oro Valley","7","4"
"HI4_NqeHMJOnMoVFNxaFyA","1-Hour Auto Glass","AZ","Tucson","21","3.5"
"hPAmGKnDqummngSTOJN_8g","Timber Creek Park","NJ","Gloucester Township","86","4.5"
"hUQ9Z7kQeabvhPOAQOVV1A","Rathbone Mansions","LA","New Orleans","67","3.5"
"Hwt3_mOEmU-t--ywcemnMg","Gold's Gym","FL","St. Petersburg","17","3"
"h_3oLlQ_CFohwlzsrSZ6xQ","The Waxing Queen Of Tucson","AZ","Tucson","17","4.5"
"h_qlv6CIXGVurFOhFQ945w","Tim Hortons","AB","Edmonton","6","3.5"
"I3ZLcrGzj-QN5vFgaJFrAg","Golf Galaxy","PA","Berwyn","25","3"
"I6DCYks9lqZeoZiVzW7PmA","Its Sold Here","PA","Willow Grove","10","1.5"
"IAj1Lw3FAOY-yZn4IO7ElQ","Baum's Dancewear","PA","Philadelphia","17","3"
"IDtLPgUrqorrpqSLdfMhZQ","Helena Avenue Bakery","CA","Santa Barbara","389","4"
"il_Ro8jwPlHresjw9EGmBg","Denny's","IN","Indianapolis","28","2.5"
"iolaqx0v6g-fymksGWIU9A","Camden Bay Apartments","FL","Tampa","53","3.5"
"iPSPcprSnkLOuL1Ns8UZZA","Pete's Barber Shop","PA","Philadelphia","12","4.5"
"IYJOfQ6eFVHKCfJck59YIw","Bob Kramer’s Marionnettes","MO","Saint Louis","5","4"
"IYlUaKC9nICjiWdk-ShPlg","Bub's Cafe","IN","Carmel","175","4"
"jaxMSoInw8Poo3XeMJt8lQ","Adams Dental","FL","Clearwater","10","5"
"jcL_qaGJiappzpnn-ifSoA","Fat Jakks","AB","Edmonton","8","4"
"JF7iyI3wA_AKi_iXOKi0Qw","Parlor Suburban Square","PA","Ardmore","61","3.5"
"JgpnXv_0XhV3SfbfB50nxw","Joe's Pizza","FL","Tampa","35","4"
"jiLGdnf42eYftkqfU2ze1w","Saks Fifth Avenue","IN","Indianapolis","29","3.5"
"jkY8aotwcAlSHCgoZrF49w","Bay Area Appliance","FL","Largo","5","1"
"jL_NufxqXi-BpW5uXKsPwQ","CVS Pharmacy","PA","Philadelphia","11","3"
"JnbSkfsl_j2dUoHncBTonA","Collision XS","IL","Belleville","6","4.5"
"jnyHs1ZXy9qIE2gORZBQMg","Style Lab For Men","LA","New Orleans","6","4"
"JX4tUpd09YFchLBuI43lGw","Naked Cyber Cafe & Espresso Bar","AB","Edmonton","12","4"
"J_ksUDPpzPwfTGtI4zTRnQ","Riverview Room","LA","New Orleans","7","4.5"
"k0hlBqXX-Bt0vf1op7Jr1w","Tsevi's Pub And Grill","MO","Affton","19","3"
"k0yyD71s2F2eEKWRdkZ6jA","Cold Stone Creamery","IN","Indianapolis","19","3"
"kfNv-JZpuN6TVNSO6hHdkw","Hibachi Express","IN","Indianapolis","20","4"
"kK2i5Xyd9SOpF5pCFilbcg","Swat Pest Control","PA","Chalfont","7","4.5"
"kk_oEw1j3xQ-cJaAII8A0Q","Giant Food Store","PA","Blue Bell","29","3"
"knQ4vIgx-r85kjlWVVjcpQ","Silver and Blue Outfitters","NV","Reno","5","4.5"
"Kq51_lGAgAigqmENITTr-A","Bala Better Health","PA","Bala Cynwyd","13","4"
"kR4tXc1fLeR2QNu8cMZrEg","Bustleton Radiology Associates","PA","Philadelphia","13","2"
"kV_Q1oqis8Qli8dUoGpTyQ","Ardmore Pizza","PA","Ardmore","109","3.5"
"KWA2qtdwVEkMpd5soSKaGA","Publix Super Market","FL","Hudson","7","3.5"
"l6VYP8AxIoW6U52aDo8fXg","HMV Superstore","AB","Edmonton","24","4"
"LcAozWCMLGjwRbokaJAKMg","Edwardsville Children's Museum","IL","Edwardsville","12","4.5"
"LGqiubTmpJ-A1L5n7dmc6g","Domino's Pizza","LA","Harvey","14","1.5"
"LhpPSrulqVeTyJeK2xydvQ","Fresh Fruits & Salads","NJ","Camden","6","4.5"
"ljxNT9p0y7YMPx0fcNBGig","Tony's Restaurant & 3rd Street Cafe","IL","Alton","94","3"
"lk9IwjZXqUMqqOhM774DtQ","Caviar & Bananas","TN","Nashville","159","3.5"
"lOP3HxdUTaq0eXhwR_KC-w","Sweet Things Chocolates","IN","Indianapolis","13","4"
"luGY5CJlb4CJ3LrBcSXMPA","Desert Design Center","AZ","Tucson","5","3"
"LVYAXWQB3t7tdwWteyjfhw","Option 1 Barber Shop","FL","Tampa","16","4"
"lwItZ1Ck3KtpCgG4CPFmpQ","Stomel Elliot Attorney-At-Law","NJ","Cherry Hill","5","5"
"Lx8ZYUJ_-3Aa8N821mN1WQ","ALM Kainan","NV","Sparks","13","4"
"L_TT0BFmFwORAMaA83K54A","Village Tap Room","IN","Indianapolis","23","2.5"
"M0XSSHqrASOnhgbWDJIpQA","Herb Import Co","LA","New Orleans","5","4"
"m9ncuZp0nEVhIwu24G-HRw","CVS Pharmacy","IN","Indianapolis","10","2.5"
"mFTaYsRDyeFaY2NDLfSaAA","River City Games","AB","Edmonton","5","4.5"
"mGFsPRHdE6SMV1gYQ6GzgQ","T-Mobile","DE","Wilmington","6","2"
"mglME3E7esPSpIF5bias8w","Pier 1","PA","Springfield","8","2.5"
"Mjboz24M9NlBeiOJKLEd_Q","DeSandro on Main","PA","Philadelphia","41","3"
"mjWvAkNqoA6Y5P03sDSzfA","Educational Outfitters","FL","Tampa","10","2"
"mpf3x-BjTdTEA3yCZrAYPw","The UPS Store","MO","Affton","15","3"
"mq5Z9X7yxgyApILQ11niNw","Wendy Warner- Medicine In Balance","PA","Langhorne","7","3"
"Ms5xG8i4p80KSMcF3tt4ug","Sal DeForte's Ristorante","NJ","Ewing","52","4"
"MTSW4McQd7CbVtyjqoe9mw","St Honore Pastries","PA","Philadelphia","80","4"
"MUTTqe8uqyMdBl186RmNeA","Tuna Bar","PA","Philadelphia","245","4"
"mWMc6_wTdE0EUBKIGXDVfA","Perkiomen Valley Brewery","PA","Green Lane","13","4.5"
"my0bmPD5dgDFE1ia__LNlw","Nails & Beauty Lounge","FL","Brandon","84","3.5"
"M_THnNDHs29aylcK-JqS1A","Professional Healthcare of Pinellas","FL","Saint Petersburg","6","1.5"
"n8ecak12IF_jhnPNs37AZA","Baltic Bakery","PA","Philadelphia","12","4.5"
"Nh1rc9aSeO-Y5lYmXVS6CA","Quality Inn Nashville Downtown - Stadium","TN","Nashville","53","2"
"noByYNtDLQAra9ccqxdfDw","H&M","CA","Santa Barbara","24","3"
"NTf_U8kYu9PAE2cZGJqtJg","Mirror Lake Community Library","FL","St. Petersburg","6","3.5"
"nUqrF-h9S7myCcvNDecOvw","Iron Horse Auto Body","CA","Santa Barbara","32","4.5"
"NZ_bFJma7brQUfln5h1UAg","Super Sushi Kyo Hin","NJ","Burlington","6","3.5"
"n_0UpQx1hsNbnPUSlodU8w","Famous Footwear","MO","Brentwood","13","2.5"
"O1oZpbZNDMH_gz8DhsZCdA","Wendy's","PA","Philadelphia","15","1.5"
"oaboaRBUgGjbo2kfUIKDLQ","Mike's Ice Cream","TN","Nashville","593","4.5"
"oCFcoyGx2VRZ8MHXEsV8tQ","Giant Food Store","PA","Brookhaven","10","2.5"
"OIsLivxtTTqH7i1QISoUOQ","Villas at San Dorado","AZ","Oro Valley","7","4"
"ONUZertKOOImiyQG66Z7Tg","Zakian Rug Cleaning","PA","Philadelphia","26","3.5"
"ORL4JE6tz3rJxVqkdKfegA","Gaylord Opryland Resort & Convention Center","TN","Nashville","1639","3"
"P10BsKUeoeCeVoK4BS2u0w","Trust Me BBQ","FL","Riverview","29","4"
"p184f-Zvf4ToPwLba0VS4A","Misto Diner","PA","Bensalem","26","3.5"
"P8brGDYVWjeW9GrKixH0yQ","Laser Spine Institute","FL","Tampa","36","3"
"pEm4xNCk8d0TF6A1gi-WDQ","TKO DJs","MO","Maplewood","17","3.5"
"pIUQz-zGw-Nu_Pu-qoTGuw","Western Endocrine Associates","AZ","Tucson","15","2"
"pJfh3Ct8iL58NZa8ta-a5w","Top Shelf Sports Lounge","FL","Wesley Chapel","95","4.5"
"pmuuoDqNZp7518AUd-YmPA","Bagelicious - King Of Prussia","PA","King of Prussia","60","3.5"
"Pns2l4eNsfO8kk83dixA6A","Abby Rappoport, LAC, CMQ","CA","Santa Barbara","7","5"
"ppFCk9aQkM338Rgwpl2F5A","Wawa","PA","Philadelphia","56","3"
"Pr_Mlt9FqdcW7WCFGJmozA","The Cider Factory","NV","Virginia City","104","4.5"
"PSo_C1Sfa13JHjzVNW6ziQ","Indian Walk Veterinary Center","PA","Newtown","15","5"
"py5aKmlTB2NarfsfcOpHOQ","Cafe Con Leche","FL","Tampa","55","2.5"
"PYW8Buz8S8LpjIe6mZTAcw","Payless Liquors","IN","Greenwood","13","3.5"
"Q2sKrIaEZsFN7VNjkibyfQ","Accurate Window & Screen","FL","Tampa","7","3.5"
"Q3kQYhkYxSRyYyeBgtk--A","Cook's Glass & Mirror","IN","Indianapolis","5","5"
"qb5pyP6XOS8K2uuC4eQHmQ","Union on Fletcher","FL","Tampa","8","2.5"
"QdN72BWoyFypdGJhhI5r7g","Bar One","PA","Philadelphia","65","4"
"qdYfHRsZdcz4Bun4f9Ijaw","Norristown Car Wash","PA","Norristown","8","2"
"qfWJmJ0g96eM_fWma3ja0g","Doc Magrogan's Oyster House - West Chester","PA","West Chester","114","3"
"qFX8IdomeBVhDPCSyz2aRg","Nashville Delivers","TN","Brentwood","7","3.5"
"qhDdDeI3K4jy2KyzwFN53w","Barnes & Noble Booksellers","IN","Indianapolis","38","4"
"QjV4v7q_pt7tt3K1US7IHg","PDQ Temple Terrace","FL","Tampa","5","3"
"qkRM_2X51Yqxk3btlwAQIg","Temple Beth-El","FL","St. Petersburg","5","3.5"
"qps-oF95uqPoV7fiXn-dpg","Bear's Skin Art Studio","AB","Edmonton","5","2"
"QZU7TcrztBb3tXaPbVCkXg","805 Ink","CA","Santa Barbara","68","4.5"
"rBmpy_Y1UbBx8ggHlyb7hA","Arizona Truck Outfitters","AZ","Tucson","10","4.5"
"rCoWa-C7Os51GjFkCnFlVw","Rite Aid","NJ","Voorhees","6","4.5"
"rJXa375PYt906DwptOOP3Q","Master Bait and Fishing Supplies","FL","TAMPA","8","4"
"ROeacJQwBeh05Rqg7F6TCg","BAP","PA","Philadelphia","205","4.5"
"RXpADfOCZBGi82-CGxYdsw","Monogram Express","LA","Metairie","8","4.5"
"rYOrSXy2I4BcxB7dhg29uA","Restoration Hardware","TN","Nashville","71","3.5"
"rZw9O5lJ36m_mXeRKE4G9A","La Sponda","PA","Downingtown","29","4.5"
"r_8FZXRkGoc5QNbTOAIftA","MDG Salon Studio","IN","Indianapolis","85","4.5"
"sB45WFgysT617bKWP_WJwA","Budweiser Brewery Experience","MO","Saint Louis","605","4.5"
"sE6jSnvMts_MAn-b4OkMAw","K-9 Groom Room","IL","Troy","5","4"
"seKihQKpGGnCeLuELRQPSQ","Twin Peaks","IN","Indianapolis","257","3.5"
"Si6LXSR9gvAbmgO5DzV2cw","Lafitte's Landing Seafood House","LA","Harvey","38","2.5"
"sqSqqLy0sN8n2IZrAbzidQ","Domino's Pizza","TN","White House","8","3.5"
"SZU9c8V2GuREDN5KgyHFJw","Santa Barbara Shellfish Company","CA","Santa Barbara","2404","4"
"s_lHc_CrkzOTY3k4VNtN8w","Indy Fuel","IN","Indianapolis","28","4"
"t5tBd4p7BA7hNDitBUXxrw","Boise Therapeutic Massage Center","ID","Boise","68","4"
"TF6QZYUR5atqBEFnHP5bOw","The UPS Store","NV","Reno","27","3.5"
"TLZ3-eDPLhUzfsWO4ad6Ug","Mahony's Po-Boys & Seafood","LA","New Orleans","382","4"
"Tm3QiAVLJAR2fEJK7APPPQ","City Fitness - Northern Liberties","PA","Philadelphia","131","3"
"tMkwHmWFUEXrC9ZduonpTg","The Green Pheasant","TN","Nashville","161","4"
"tSFXJ0GFl5iUdy021YgWLw","The Mad Griddle ","IN","Indianapolis","7","5"
"tUFrWirKiKi_TAnsVWINQQ","Target","AZ","Tucson","22","3.5"
"tuyCmcmm5Q-bc-9zV76xKA","Pho Friendly","NJ","Trenton","93","4.5"
"tVdJ7CgBGAQ_nLomYXbB-Q","Cunningham Pest Control","PA","Havertown","5","5"
"txiXR1YfMyk-5S4ZzOVIhQ","Advance Financial","TN","Nashville","7","2"
"txyXRytGjwOXvS8s4sc-WA","Smoothie King","AZ","Tucson","29","3"
"tyJwgMRwo21wLUsga_RkQw","Blue Water Dental Care","NV","Reno","10","4"
"U2htB9qk4hOXCdkccvvW0Q","D's Toys","IN","Indianapolis","5","5"
"U2Tzy6J9aAAg9pzXsgdkvg","Premier Mortgage Resources","ID","Meridian","6","5"
"Ucl9Vo5lwrUmYbV8Dv8X5g","O'Briens Irish Pub","FL","Tampa","108","4"
"uCQqtYW_xc1EJRm7NyakdA","Yogurt Beach","NV","Reno","12","4.5"
"uczmbBk5O3tYhGue13dCDg","New Orleans Spirit Tours","LA","New Orleans","38","4"
"uDQgmudYDKiB6n4vwbEeDg","Chrysalis","TN","Franklin","112","4.5"
"uI9XODGY_2_ieTE6xJ0myw","Roman Forum","FL","Tampa","23","4"
"UJsufbvfyfONHeWdvAHKjA","Marshalls","FL","Land O' Lakes","6","3.5"
"ULReFPrCIDRbGKwP3ZsHwg","Eddie's Southtown Donuts","MO","Saint Louis","55","4.5"
"UoKkgWmE9-c3wbWwO4VAVQ","Beaver Hill Condominium","PA","Jenkintown","5","3"
"V-96iACFgPmVjjKACGxd7Q","Fusion Pizza & Grill","PA","Philadelphia","6","2.5"
"v5kwdvmg-J8g-ll0nkc3Sw","The Libertine Liquor Bar","IN","Indianapolis","208","4"
"VbItL6RDULtnw4YvB6EhVg","Jon's Bar & Grille","PA","Philadelphia","178","3"
"vje0KIiE7vtpx7JzmBx5LQ","The Pearl","FL","Treasure Island","129","4"
"vjLSYNGFkPu4Y5HKoJlzYg","Rancho 777","NV","Reno","5","2"
"vPcfJ3rm3NpdqVDod2WxLA","China Pearl","PA","Langhorne","27","1.5"
"vR9_bhoszcpXbB_APv6Xlw","James Dant","IN","Indianapolis","31","5"
"VrGxoSNZfSiT-G4OqRRGIw","Sunset 44 Bistro","MO","Saint Louis","73","4"
"vSE6lkp5FBcttPxEbQ9XCw","Kim Kelly & Co Clinical Skin Care","PA","Doylestown","7","5"
"vvE3HVfxlx9UYctKPr0dbw","Inspired By Purpose Wellness Center & Yoga Studio","NV","Reno","9","4.5"
"VVvUBlc_WIEb8obKGq39dA","Four Green Fields","FL","Tampa","39","4.5"
"VZzivJEbmHItOxNXJB3SpA","Subway","TN","Brentwood","14","2.5"
"W57cR9a7XP6RX56MSWHJJA","Las Margaritas","LA","New Orleans","58","3.5"
"WcSpc5mcfa7NUZ9GQgx0Tg","Endless Summer Tans","AZ","Tucson","9","4.5"
"WdrpkH-q7FQY5nclmPfoDQ","Daniel Colombo , MD","NV","Reno","7","4"
"wEfK2HIYNzkA1QYfUjHBaw","Leslie's","AZ","Tucson","15","2.5"
"wghnIlMb_i5U46HMBGx9ig","China Dragon Restaurant","AZ","Tucson","23","3"
"wjyUxHxkrvUvCOVqy4g_wg","Oscar's Cafe","MO","Normandy","11","4"
"WKMJwqnfZKsAae75RMP6jA","Roast Coffeehouse and Wine Bar","AB","Edmonton","40","4"
"wMAxTyExktVtfyqKAfApbA","Tuffy Tire & Auto Service Center","FL","Tampa","16","4"
"WveinioyAZg3dtt0zHsyHA","99 Cents Only Stores","AZ","Tucson","17","4"
"WYYdQDjx-DsCanlP0DpImQ","J Sushi","PA","Philadelphia","72","4.5"
"wZhGuW7vQpfhxeEvLHkTrA","Express Cafe","ID","Meridian","119","4.5"
"w_AMNoI1iG9eay7ncmc67w","River 127","LA","New Orleans","12","3"
"X0V_PdBTS_SwNxMY2795ZA","Toys R Us","AZ","Tucson","12","3.5"
"x1mhq4IpWctQOBM06dU8vg","Diamond Hair Company","IN","Indianapolis","25","1.5"
"X4loIesbBkiTZLFstHv8Kw","Diagnostic Imaging Services","LA","Metairie","10","3.5"
"x7_p5O3ChQa7shdHCcLHZQ","Olivier's Creole Restaurant","LA","New Orleans","172","3.5"
"x8KYhsxbufQiYIK-4MRzHQ","West Coast Roofing","AZ","Tucson","13","2"
"x9K0RfZaT_zlw6DklBDzjw","Gavi Italian Restaurant","AZ","Tucson","9","3.5"
"xa6JYHDgVza7CuenKBJBHw","Taqueria El Sitio","TN","Hermitage","8","4.5"
"xAAhPuZ8FG6OlvAw5m1BVQ","Willard Park","IN","Indianapolis","5","3.5"
"xbRbvXSAVZBEwaUUn3mzbg","Lee Roy Selmon's","FL","Tampa","42","3.5"
"xF9r1XbMvEOsJeHlmFhIvw","Weddings in Santa Barbara","CA","Santa Barbara","13","5"
"xfmkEGiIERBaBMLhw-dTCg","Walmart Vision & Glasses","PA","Philadelphia","6","4.5"
"XHTgtBSwLnwRHzKSbea2Fg","Michael Kors","IN","Indianapolis","6","4"
"xloFoRiYlH4IKGz3FhTDpA","1-275 Rest Area Manatee County Mile 7","FL","Terra Ceia","5","4"
"xM6LoUcnpDpMBzXs_7dXAg","Fairfield Inn & Suites","PA","Kennett Square","37","3"
"X_E7U2lVNEwbH_gpOBmAHQ","Cerveza Jack's","TN","Nashville","182","4"
"Y6heWJJ9AmEL58fZwgi9YQ","Rosati's Pizza","AZ","Tucson","58","4"
"Y6t4pnKm5LF8y5ChHA27ow","Meineke Car Care Center","FL","Land O Lakes","27","4.5"
